,Nominal comp. (wt%),,,,,,,,,,,,,,,,,,,,,,,,Ave. Erp,Test Temp,Test Solution,[Cl-],pH,Test Method,Scan Rate,Heat treatment,Microstructures,Comments,Material class,Reference,,
No.,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,V,Ta,Re,Ce,Ti,Co,B,Mg,Y,Gd,VSCE,oC,,M,pH,,mV/s,,,,,,,
1,80.69,18.00,0.00,0.00,0.00,0.00,0.00,0.01,0.29,1.00,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-504.03,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
2,78.26,18.40,0.00,1.96,0.00,0.01,0.00,0.01,0.28,1.08,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-403.47,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
3,76.45,22.20,0.01,0.03,0.00,0.00,0.00,0.01,0.31,0.99,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-478.89,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
4,74.38,22.40,0.00,1.91,0.00,0.00,0.00,0.01,0.30,0.99,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-382.06,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
5,72.14,26.50,0.00,0.04,0.00,0.00,0.00,0.01,0.30,1.00,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-465.86,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
6,69.90,26.90,0.00,1.91,0.00,0.00,0.00,0.01,0.30,0.97,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-394.16,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
7,68.05,26.70,0.01,3.99,0.00,0.01,0.00,0.01,0.26,0.98,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-332.71,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
8,67.47,18.60,12.60,0.03,0.00,0.00,0.00,0.01,0.29,1.00,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-323.40,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
9,63.04,18.50,15.30,1.91,0.00,0.00,0.00,0.01,0.24,1.00,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-258.22,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
10,58.20,22.90,17.60,0.02,0.00,0.00,0.00,0.01,0.31,0.96,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-230.29,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
11,53.48,22.60,20.80,1.85,0.00,0.00,0.00,0.01,0.27,0.99,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-224.70,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
12,48.44,26.20,24.00,0.08,0.00,0.00,0.00,0.01,0.29,0.98,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-252.64,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
13,43.40,26.50,26.90,1.87,0.00,0.00,0.00,0.01,0.31,1.01,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-223.77,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
14,39.83,26.30,28.80,3.82,0.00,0.00,0.00,0.01,0.24,1.00,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-181.87,60.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polarized in the noble direction with 10 mV/min steps and held for 1 h at the potential at which the polarizing current was > 100 mA. Specimens then were polarized in the active direction with 10 mV/min steps until the polarizing current decreased to 10 mA. Under 10 mA, the steps were decreased to 10 mV/h. ",0.17,"These steels were produced from 50 kg vacuummelted ingots and rolled to sheets 1 mm to 1.5 mm thick, with intermediate annealing and pickling. ",NA,All specimens for crevice corrosion tests were polished to a 320-grit finish and degreased with acetone. ,Fe Alloy,48,,
15,79.28,17.88,0.00,2.10,0.00,0.01,0.22,0.01,0.24,0.26,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.00,30.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polished to 600 grit for cyclic polarization. The specimens were polarized initially from –20 mV with respect to the corrosion potential (Ecorr) to a maximum potential of 0.8 VSCE. The reverse polarization sweep was triggered at 0.5 x 10–3 A/cm2. The final potential was set to Ecorr with a sweep rate of 20 mV/min. The electrochemical vessels were deaerated systematically for 60 min prior to polarization. On the occasions when crevice corrosion occurred, the associated results were rejected, and no further reference is made to them in this work.",0.33,"Samples were manufactured in 30-kg ingots, which subsequently were surface ground and hot-rolled to 6 mm. After annealing at 1,100°C, the metal was cold-rolled to 2-mm thickness and subsequently annealed at 1,050°C. ",NA,NA,Fe Alloy,52,,
16,80.05,19.22,0.00,0.00,0.00,0.01,0.22,0.01,0.24,0.25,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-128.00,30.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polished to 600 grit for cyclic polarization. The specimens were polarized initially from –20 mV with respect to the corrosion potential (Ecorr) to a maximum potential of 0.8 VSCE. The reverse polarization sweep was triggered at 0.5 x 10–3 A/cm2. The final potential was set to Ecorr with a sweep rate of 20 mV/min. The electrochemical vessels were deaerated systematically for 60 min prior to polarization. On the occasions when crevice corrosion occurred, the associated results were rejected, and no further reference is made to them in this work.",0.33,"Samples were manufactured in 30-kg ingots, which subsequently were surfaceground and hot-rolled to 6 mm. After annealing at 1,100°C, the metal was cold-rolled to 2-mm thickness and subsequently annealed at 1,050°C.",NA,NA,Fe Alloy,52,,
17,79.37,18.90,0.00,0.97,0.00,0.01,0.23,0.01,0.25,0.26,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,253.00,30.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polished to 600 grit for cyclic polarization. The specimens were polarized initially from –20 mV with respect to the corrosion potential (Ecorr) to a maximum potential of 0.8 VSCE. The reverse polarization sweep was triggered at 0.5 x 10–3 A/cm2. The final potential was set to Ecorr with a sweep rate of 20 mV/min. The electrochemical vessels were deaerated systematically for 60 min prior to polarization. On the occasions when crevice corrosion occurred, the associated results were rejected, and no further reference is made to them in this work.",0.33,"Samples were manufactured in 30-kg ingots, which subsequently were surfaceground and hot-rolled to 6 mm. After annealing at 1,100°C, the metal was cold-rolled to 2-mm thickness and subsequently annealed at 1,050°C.",NA,NA,Fe Alloy,52,,
18,77.29,18.92,0.00,3.07,0.00,0.01,0.22,0.01,0.22,0.26,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113.00,30.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polished to 600 grit for cyclic polarization. The specimens were polarized initially from –20 mV with respect to the corrosion potential (Ecorr) to a maximum potential of 0.8 VSCE. The reverse polarization sweep was triggered at 0.5 x 10–3 A/cm2. The final potential was set to Ecorr with a sweep rate of 20 mV/min. The electrochemical vessels were deaerated systematically for 60 min prior to polarization. On the occasions when crevice corrosion occurred, the associated results were rejected, and no further reference is made to them in this work.",0.33,"Samples were manufactured in 30-kg ingots, which subsequently were surfaceground and hot-rolled to 6 mm. After annealing at 1,100°C, the metal was cold-rolled to 2-mm thickness and subsequently annealed at 1,050°C.",NA,NA,Fe Alloy,52,,
19,76.28,21.96,0.00,0.99,0.00,0.01,0.23,0.01,0.26,0.26,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,222.00,30.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polished to 600 grit for cyclic polarization. The specimens were polarized initially from –20 mV with respect to the corrosion potential (Ecorr) to a maximum potential of 0.8 VSCE. The reverse polarization sweep was triggered at 0.5 x 10–3 A/cm2. The final potential was set to Ecorr with a sweep rate of 20 mV/min. The electrochemical vessels were deaerated systematically for 60 min prior to polarization. On the occasions when crevice corrosion occurred, the associated results were rejected, and no further reference is made to them in this work.",0.33,"Samples were manufactured in 30-kg ingots, which subsequently were surfaceground and hot-rolled to 6 mm. After annealing at 1,100°C, the metal was cold-rolled to 2-mm thickness and subsequently annealed at 1,050°C.",NA,NA,Fe Alloy,52,,
20,75.16,24.05,0.00,0.00,0.00,0.01,0.24,0.01,0.26,0.26,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225.00,30.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polished to 600 grit for cyclic polarization. The specimens were polarized initially from –20 mV with respect to the corrosion potential (Ecorr) to a maximum potential of 0.8 VSCE. The reverse polarization sweep was triggered at 0.5 x 10–3 A/cm2. The final potential was set to Ecorr with a sweep rate of 20 mV/min. The electrochemical vessels were deaerated systematically for 60 min prior to polarization. On the occasions when crevice corrosion occurred, the associated results were rejected, and no further reference is made to them in this work.",0.33,"Samples were manufactured in 30-kg ingots, which subsequently were surfaceground and hot-rolled to 6 mm. After annealing at 1,100°C, the metal was cold-rolled to 2-mm thickness and subsequently annealed at 1,050°C.",NA,NA,Fe Alloy,52,,
21,78.17,19.03,0.00,2.03,0.00,0.01,0.23,0.00,0.26,0.26,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196.00,30.00,"3.5% NaCl, Argon dearated",0.60,7.00,"Specimens were polished to 600 grit for cyclic polarization. The specimens were polarized initially from –20 mV with respect to the corrosion potential (Ecorr) to a maximum potential of 0.8 VSCE. The reverse polarization sweep was triggered at 0.5 x 10–3 A/cm2. The final potential was set to Ecorr with a sweep rate of 20 mV/min. The electrochemical vessels were deaerated systematically for 60 min prior to polarization. On the occasions when crevice corrosion occurred, the associated results were rejected, and no further reference is made to them in this work.",0.33,"Samples were manufactured in 30-kg ingots, which subsequently were surfaceground and hot-rolled to 6 mm. After annealing at 1,100°C, the metal was cold-rolled to 2-mm thickness and subsequently annealed at 1,050°C.",NA,NA,Fe Alloy,52,,
